Spatial pattern type (uniform or perlin noise. If perlin noise: patch area is given in m² with standard deviation in parentheses),Recruits yr^-1
2 x 10⁵ (4 x 10⁵),143764
2 x 10⁵ (4 x 10⁵),171122
2 x 10⁵ (4 x 10⁵),247720
2 x 10⁵ (4 x 10⁵),206779
2 x 10⁵ (4 x 10⁵),151408
2 x 10⁵ (4 x 10⁵),187528
2 x 10⁵ (4 x 10⁵),170862
2 x 10⁵ (4 x 10⁵),194624
2 x 10⁵ (4 x 10⁵),293519
2 x 10⁵ (4 x 10⁵),174912
2 x 10⁵ (4 x 10⁵),225391
2 x 10⁵ (4 x 10⁵),251877
2 x 10⁵ (4 x 10⁵),142483
2 x 10⁵ (4 x 10⁵),116952
2 x 10⁵ (4 x 10⁵),237556
2 x 10⁵ (4 x 10⁵),259317
2 x 10⁵ (4 x 10⁵),208104
2 x 10⁵ (4 x 10⁵),117850
2 x 10⁵ (4 x 10⁵),253364
2 x 10⁵ (4 x 10⁵),217502
2 x 10⁵ (4 x 10⁵),212929
2 x 10⁵ (4 x 10⁵),202156
2 x 10⁵ (4 x 10⁵),160755
2 x 10⁵ (4 x 10⁵),191625
2 x 10⁵ (4 x 10⁵),194612
2 x 10⁵ (4 x 10⁵),247665
